10年間	0000802100-005
考エウル	0000829200-002
キャットウォーク	0000211100-004
時間ドオリニ間ニ合ウ	0000482306-1537
カラカウ	0000036100-005	0000645100-002
ガチャントブツカリ合ウ	0000078100-005
恥ズカシクサセルヨウナ	0000960108-2052
何カ食ベタクナルヨウナ	0000538104-1026
カクマウ	0000521100-002	0000866100-010
カウンセリング	0000019100-003
口ダケヲ動カシテ言ウ	0001235109-2305
ドウニカ成シ遂ゲル	0000007104-1025
人ヲゴマカスヨウナ	0000716105-1281
恥ズカシソウナ	0001016103-770
カロウジテノ	0000160107-1793
ウッカリミス	0000717206-1537
ウカツニ漏ラス	0001127209-2305
腹ヲ空カセテドウ猛ナ	0000538106-1538
カウンセラ	0000020100-005
立チ向カウ	0000765100-004
ウカツナ	0000124100-002
ツカミ合ウ	0000424100-007
満面ノ笑ミヲ浮カベテヲ言ウ	0001035106-1537
カウント	0000368100-005
快方ニ向カウ	0000905108-2050
カユミヲ伴ウ	0000780110-2561
向カウ	0000489100-003
シクシク泣キナガラ言ウ	0000234107-1793
買ウコトガデキル	0000070103-769
ススリ泣キナガラ言ウ	0000234104-1025
人ガスルノヲヤメサセヨウトスル	0000306103-769
ウレシガラセル	0000817100-004
ウラヤマシガラレル	0000826109-2305
人ト違ウノガ嫌ナ	0000193106-1538
キャッキャット笑ウ	0000644104-1025
抱キシメタクナルヨウナ	0001109109-2305
焼キ尽クスヨウナ	0000011107-1794
メソメソ泣キゴトヲ言ウ	0000234108-2049
ヒッキリナシニ行ウ	0000462105-1281
社会復帰デキルヨウニスル	0000236106-1537
ウズキ	0000779100-003
キマリ悪ソウナ	0000347107-1793
キチョウメンナ	0000340100-004
ブッキラボウナ	0000530100-005
ヒョウキンナ	0000474108-2049
責メヲ負ウベキ	0000503104-1025	0000503105-1281	0000503106-1537	0000503107-1793
付キ合ウ	0000492100-001
付キ添ウ	0001115200-006
他人ノ言ウコトヲ信ジスギル	0000727103-769
ギョットサセルヨウナ	0000467105-1281
クスクスト笑ウ	0000644100-002
ゾクゾクスルヨウナ	0000467100-006
ウマク言ッテサセル	0000808109-2305	0000808110-2561
ビックリサセルヨウナ	0000467104-1025	0000467106-1537
タクサンノ活動ヲ伴ウ	0000113205-1281
耳ヲツンザクヨウナ	0000522300-005	0000682100-005
喜バシク思ウ	0000487108-2049
誇ラシク思ウ	0000487108-2049
正シク振ル舞ウ	0000491503-769
激シク争ウ	0000176104-1025	0000176109-2305
危ウクスル	0000241100-004	0001145100-004
ウズク	0000540200-002
ウロツク	0001070100-006	0001226100-007
クロウトノ	0000491414-3585
ヒドク嫌ウ	0000510109-2305	0000510110-2561
見クビルヨウナ	0000592100-008
驚クヨウナ	0000929111-2818
ウマク逃レル	0000365105-1281
ウメク	0001235100-008
モウ一度書ク	0000933103-769
安ク売リ払ウ	0000995104-1025
見ツケヨウトスル	0000677209-2306
スルヨウ義務ヅケル	0000450105-1281
ケナスヨウナ	0000592100-005
焼ケルヨウニヒリヒリスル	0000780109-2305
名誉ヲ傷ツケルヨウナ	0000592100-006
釘付ケニナルヨウナ	0000602100-007
胸ノ張リ裂ケルヨウナ	0000975107-1793
不正ナ金モウケ	0000457200-007
焼ケルヨウナ	0000533107-1793
請ケ合ウ	0000188209-2305
請ケ負ウ	0000319100-006
サゲスムヨウナ	0000592105-1281
大ゲサニ言ウ	0000375100-002
向コウ見ズナ	0000902100-002
起コリソウニ思ワレル	0000664104-1025	0000664108-2049
ニッコリト笑ッテヲ言ウ	0001035105-1282
ニッコリト笑ウ	0001035100-003
当然ノコトト思ウ	0001172100-007
声色ヲ使ウコト	0000786105-1281
会ウコト	0000707203-769
コウムル	0000512300-002
起コリウル事柄	0000370113-3329
起コリウル	0000664100-003
ウンザリサセル	0000075100-002	0000102100-005
申シ訳ナサソウナ	0001047108-2050
ウレシサ	0000625100-002	0000978100-002
ヤメサセヨウトスル	0000306100-001
ゾットサセルヨウナ	0000467105-1281
心配事ノナサソウナ	0000118110-2561
ウナサレタ	0000541107-1793
ムサボリ食ウ	0000333109-2306
ウマサ	0001027200-014
ウンザリシタ	0000035100-005
怒ルヨウナ事ヲワザトスル	0000036108-2049
説得シテシテモラウ	0000808103-769	0000808105-1281	0000808108-2049
市場シジョウ	0000700100-001
シソウダ	0000993104-1026
シソウナ	0000664100-007
疑ワシソウナ	0001197108-2050	0001197109-2306
寂シソウナ	0001192105-1282
悲シソウナ	0001000206-1537	0001192104-1026	0001192105-1281	0001192108-2049
餓死シソウナ	0000538105-1282
ボウットシタ	0000191107-1793
ウットリシタ	0000491607-1794	0000601100-006
ウブナフリヲシタ	0001016106-1539
未来ヲ先取リシタヨウナ	0000394106-1537
ショッチュウ	0000759100-004
シテモラウ	0000808104-1025
作品ヲ出版シテモラウ	0000871203-769
突進シテ襲ウ	0000064206-1537
シャンプーデ洗ウ	0000154108-2049
ムシ風呂ノヨウナ	0000536106-1538
シミルヨウニ痛ム	0000540207-1795
試シニ使ウ	0001173200-002
遠回シニ言ウ	0000703200-002
試シニ行ウ	0001173203-769
繰リ返シ言ウ	0000933100-002
出シ合ウ	0000485306-1537	0001005100-009
話シ合ウ	0001118100-002
非常ニジョウズナ	0000491405-1281
ジョウズナ	0000491400-004
タメ息マジリニ言ウ	0001235106-1537
同ジヨウデ	0000663100-004
同ジヨウナ	0000663100-009
去ルヨウ命ジル	0000391106-1537
スルヨウ強制スル	0000450105-1281	0000450106-1537
ウタタ寝スル	0001028100-004
スルヨウニナル	0000085107-1794	0000429100-007
刺スヨウニ痛ム	0000540207-1795
人ニヲヤメルヨウ忠告スル	0000306106-1537
ホウ助スル	0000518109-2305
ヲスルヨウ求メル	0000268104-1025
ズルソウナ	0001108200-005
ズバリト言ウ	0000530114-3585
セセラ笑ウ	0000645107-1793
不幸セソウナ	0001192104-1025
幸セソウナ	0000507107-1795
力ヲ合ワセテ行ウ	0000171109-2306
目ヲ見張ラセルヨウナ	0000688106-1538
ソウ	0000399106-1537
ボソボソ言ウ	0001235100-005
ヨダレノ出ソウナ	0000264107-1793
ニナリソウナ	0000664107-1793
不健康ソウナ	0001017111-2817
不安ソウナ	0001082107-1793
不審ソウナ	0001108107-1793
偉ソウナ	0000969110-2561
病弱ソウナ	0001017110-2561
心配ソウナ	0001082107-1793
満足ソウナ	0000507105-1282	0000507107-1796
眠ソウナ	0001152100-006
ソレニ伴ウ	0000918109-2306
ニタニタ笑ウ	0000644107-1793	0000644108-2049	0001035107-1793	0001035108-2050
タビタビ行ウ	0000462104-1025	0000462106-1537
ニタリト笑ッテヲ言ウ	0001035105-1282
ニタリト笑ウ	0001035105-1281
似タヨウナ	0000785100-001
ウヌボレタ	0000868200-010
タメラウ	0000520100-001
身ノ毛ノヨダツヨウナ	0000467109-2305	0000467114-3585
嫌ダト思ウ	0000123100-005
真実ダト言ウ	0000188205-1281
本当ダト言ウ	0000188203-769	0000188204-1025
チョウドノ	0001216100-006
大事ニ思ウ気持チ	0000683205-1281
大切ニ思ウ気持チ	0000683200-002
ニヤリト笑ッテヲ言ウ	0001035105-1282
取ッ組ミ合ウ	0000424100-004
ブツブツ言ウ	0001235100-006
ノツモリデ言ウ	0000703207-1793
ツモリデ言ウ	0000597100-004	0000703200-001
目立ツヨウニナル	0000042108-2049
鳥肌ノ立ツヨウナ	0000467114-3586
フツウノ	0000751104-1025
ヲ持ツヨウ求メル	0000268104-1025
慌テテ言ウ	0000539108-2049
強メテ言ウ	0001081104-1025
ノヨウナヤリ方デ	0000663103-769
ホホ笑ンデヲ言ウ	0001035104-1025
金切リ声デ言ウ	0001012106-1537
競売デ売リ払ウ	0000995108-2049
喜ンデ行ウ	0000519105-1281
進ンデ行ウ	0000519105-1281
液体洗剤デ洗ウ	0000154108-2049
大声デ言ウ	0001012103-769	0001012104-1025	0001012105-1281	0001012110-2561	0001012111-2817	0001012112-3073
手デ扱ウ	0000525110-2562
水デ洗ウ	0000154110-2561
ニヤリト笑ウ	0001035105-1281
フフフト笑ウ	0000644104-1025
人ト会ウ	0000706104-1025
ラウンド	0000477111-2817
息ヲノムヨウナ	0000031100-006
気ノ滅入ルヨウナ	0000467108-2050
病人ノヨウナ	0001017110-2562
少女ノヨウナ	0000145108-2049
少年ノヨウナ	0000145106-1537
男性ノヨウナ	0000256203-769	0000256204-1026
悪霊ノヨウナ	0000373109-2306
ウブナ	0000727100-002
息ヲ吞ムヨウナ	0000031107-1793
ウナル	0001012100-008	0001235100-009
正確ナ値段ヲ言ウ	0000116109-2305
正確ナ数ヲ言ウ	0000116109-2305
損ナウ	0000241100-003	0000970100-004
ニヤニヤ笑ウ	0000644100-005	0001035100-005
自分ノ外見ニ気ヲ遣ウ	0001116103-772
気ノ毒ニ思ウ	0001048100-001
フウニ	0000663100-006
巧ミニ扱ウ	0000763107-1793
代ワリニ使ウ	0000934207-1793
誇リニ思ウ	0000099108-2049
専制的ニ振ル舞ウ人	0000288106-1537
独裁的ニ振ル舞ウ人	0000288103-769
大事ニ思ウ	0000684104-1025	0000684106-1537	0000684109-2305
試験的ニ使ウ	0001136100-007
大切ニ思ウ	0000684100-002
間ニ合ウ	0000482300-004
疑問ニ思ウ	0000322103-770
習慣的ニ行ウ	0000462106-1537
試験的ニ行ウ	0001136106-1537
ウヌボレ	0000850100-002
昔フウノ	0000762100-002
ウワベノ	0000041100-002
使ウノヲヤメル	0000931111-2817
細心ノ注意ヲ払ウ	0000746104-1025
ホウビ	0000072100-004
ウラヤミ	0000621104-1025
痛ミヲ伴ウ	0000540204-1025	0000780104-1025
忌ミ嫌ウ	0000510109-2305
モラウ	0000482100-005
ヤリ合ウ	0000738108-2049
取リ計ラウ	0000248108-2049
逆ラウ	0000765100-005
怒リヲ買ウ	0000034100-005
取リ扱ウ	0000248100-002	0000562105-1281	0000562110-2561	0000995200-008
取リ繕ウ	0000547109-2306
巡リ合ウ	0000429200-008
張リ合ウ	0000050100-004	0000176103-769
執リ行ウ	0000773109-2305
売リ払ウ	0000995100-004
寄リ添ウ	0000534107-1794
怒リ狂ウ	0000680100-007
猛威ヲ振ルウ	0000968108-2049
荒レ狂ウ	0000968100-005
ウロ	0000527200-004
味ワウ	0000046100-001	0000333100-006	0000421100-003	0000512309-2305	0001173205-1281
一翼ヲ担ウ	0000623110-2561
不平ヲ言ウ	0000178100-001
不満ヲ言ウ	0000178100-002
危険ヲ伴ウ	0000100105-1282	0000242104-1025
思考ヲ伴ウ	0000594106-1539
苦痛ヲ伴ウ	0000780104-1025
体ヲ洗ウ	0001229103-769	0001229108-2049
色目ヲ使ウ	0000438100-008
役割ヲ担ウ	0000623110-2561
商取引ヲ行ウ	0000738104-1025
文句ヲ言ウ	0000178100-003
心ヲ奪ウ	0000265100-003	0000557107-1793
目ヲ奪ウ	0000557100-006
注意ヲ払ウ	0000746100-004
愚痴ヲ言ウ	0000178106-1537	0000178107-1793	0000178108-2049
一役買ウ	0000832109-2305
二度以上言ウ	0000933103-770
四六時中行ウ	0000462105-1281
争ウ	0000176107-1793	0000176108-2049
会ウ	0000706100-001	0000706200-001
偶然出会ウ	0000706204-1025	0000706205-1281	0000706206-1537
出会ウ	0000706200-002
手伝ウ	0000518100-001
伴ウ	0000918100-003
使ウ	0001204100-001	0001204203-769	0001204205-1281	0001204206-1537	0001204211-2817
倣ウ	0000445400-008
後日支払ウ勘定書	0000092107-1793
問ウ	0000058100-003	0000879100-002
奪ウ	0000966100-001	0001101100-004
嫌ウ	0000510100-002
従ウ	0000445300-001	0000445400-001	0000515104-1027	0000515106-1538
思ウ	0000429100-004	0000552100-002	0000597103-769	0000597104-1025	0000597107-1793	0000914100-003	0001099100-001	0001143100-001
患ウ	0001092100-003
戦ウ	0000424100-001
払ウ	0000109106-1538
扱ウ	0000248104-1025
救ウ	0000980100-001
気遣ウ	0000123100-001
洗ウ	0000154100-004	0001229100-001
狂ウ	0000402204-1025
狙ウ	0000279200-004
疑ウ	0000322100-001	0001107100-001
祝ウ	0000816100-002
競ウ	0000176100-001
笑ウ	0000644100-001	0000645100-001
繕ウ	0000932100-008
習ウ	0000652100-005
見習ウ	0000445400-005
行ウ	0000243105-1281	0000319100-004	0000512400-003
装ウ	0000846100-002
襲ウ	0000064100-002
覆ウ	0001058100-002
言ウ	0000253106-1538	0000837105-1281	0000981100-001	0000981200-001
誓ウ	0000862100-005
請ウ	0000058200-006
負ウ	0000512304-1025	0000512306-1537	0000512310-2561	0001092104-1026
買ウ	0000115100-001
追ウ	0000677206-1538
通ウ	0001223100-006
闘ウ	0000120100-002	0000176100-004	0000424100-003	0000765105-1281	0000765106-1537	0000945100-003
雇ウ	0000349100-001
願ウ	0000532100-002	0001227100-006
飼ウ	0000630400-001
プロジェクト	0000860100-004
チェックリスト	0000667100-013
プロフェッショナルナ	0000491400-008
ジェスチャ	0000725100-006
マニフェスト	0000813100-011
チェーン	0000999100-012
レフェリ	0000626100-005
見栄エヨク整エル	0000053103-769
蓄エテオク	0000630104-1025	0000980300-005
覚エテオク	0000930105-1282
オビエテ	0000022100-004
オビエル	0000783100-007
抱キカカエル	0000534100-003
カスカニ見エル	0000295103-770
口ダケヲ動カシテ伝エル	0001235109-2305
目ニ見エテ明ラカナ	0001221103-769
カナエル	0000007100-009
燃エ上ガラセル	0000590106-1538
クルリト向キヲ変エル	0001175105-1281	0001175107-1793	0001175108-2049	0001175109-2305
エキスパート	0000395100-002
キチント論理的ニ整エラレタ	0000733106-1537
道義ヲワキマエタ	0000491505-1281
ハッキリ見エテ	0001221106-1538
ハッキリ見エル	0001221100-005
生キ長ラエル	0000927100-008	0001106100-005
向キヲ変エル	0000444107-1793	0000651100-004	0001175100-001
サエギル	0000098200-002	0000604100-001
エネルギッシュナ	0000356103-769
煮エタギッタ	0000533100-005
燃エタギル	0001202105-1282
絶エ間ナク続ク	0000200110-2561
非常ニ薄クテ透ケテ見エル	0000157307-1793
ショックヲ与エル	0000754100-004	0001010100-001
精神的ショックヲ与エル	0000466108-2049
惜シミナク与エル	0000485110-2561
エスニックナ	0000235105-1284
スリルヲ与エテクレル体験	0000383104-1026
リクエスト	0001241100-010
ホクソエム	0000644100-003
ハラワタノ煮エクリ返ッタ	0000475108-2049
注意深ク整エラレタ	0000733105-1281
考エツク	0000369100-005	0000552100-004
充実感ヲ与エテクレル	0000979107-1793
達成感ヲ与エテクレル	0000979107-1793
ドエラク	0001217113-3331
見エナクナル	0000300100-001
心ニ描ク考エ	0000551104-1025
ヨク冷エル	0000206104-1027
考エヲ抱ク	0000552100-010
耐エ抜ク	0001106100-009
スグニ使エル	0000350106-1537
受ケ取ッタコトヲ伝エル	0000040107-1793
エチケット	0000947100-010
結ビツケテ考エル	0000917104-1025	0000917107-1793
裏ヅケヲ与エル	0000188109-2305
前言ニ付ケ加エル	0000013107-1793
分ケ与エル	0001005100-003
備エ付ケル	0000362100-003
付ケ加エル	0000607103-769
耐エ続ケル	0000805106-1538
エコシステム	0000732207-1793
持チコタエル	0000927100-004
似テ見エルコト	0001023104-1025	0001023107-1793
将来ノコトヲ考エル	0000389109-2305
安心感ヲ与エルコト	0000925105-1282
教エルコト	0000336108-2049	0000336109-2305
数エルコト	0000368104-1025
見エルコト	0000676100-002	0001018103-769	0001018104-1025	0001018105-1281
コラエル	0000945100-005	0001101200-002
聞コエル	0000515100-001	0000993100-004
エゴ	0000850106-1537
エサ	0000106100-002
エンドユーザ	0000238112-3074
シルエット	0001003100-009
一マトマリニシテ考エル	0000153108-2049
歓呼シテ迎エル	0000835109-2306
マジメニ考エル	0001000203-769
感ジヲ与エル	0000993107-1793
目ニ見エル形デ表ス	0000938204-1025
答エヲ出ス	0000188306-1537
考エ直ス	0000520107-1793
結果ヲ考エズニ行ワレル	0000887105-1281
手ハズヲ整エル	0000773100-003
ソビエ立ツ	0000522200-002
エピソード	0000370108-2050
ソロエル	0000917106-1537
品ゾロエ	0000888100-004
誤ッタ考エ	0000550107-1793	0000550108-2049	0000550109-2305	0000550111-2817
血ニ飢エタ	0001220109-2305
教エルタメノ	0000337107-1793
体力ノ衰エタ	0001017109-2305
目ノ肥エタ	0001014100-008
標準体重ヲ超エタ	0000414105-1281
感情ヲ抑エタ	0000118107-1793
冷エタ	0000164100-004
飢エタ	0000538104-1025
フンダンニ与エル	0000485110-2561
待チ構エル	0000389106-1538	0000389110-2561
現実的ニ考エテ	0000897103-769
喜ンデ迎エ入レル	0000657106-1537
物事ノトラエ方	0000067104-1025
特定ノトラエ方	0000067110-2561
エリートノ	0001156100-011
ト考エラレル	0000938104-1026
トラエ方	0000067100-003
エリート	0000345100-001
右ニナラエノ	0000193106-1539
控エメナ	0000881300-004	0001016100-009	0001029100-011
切リ換エ可能ナ	0000437106-1537
正式ナ許可ヲ与エル	0000029109-2305
偏狭ナ考エ	0000884107-1793
不本意ニ与エラレル	0000926105-1281
許可ヲ正式ニ与エル	0000029114-3586
権限ヲ正式ニ与エル	0000029108-2050
完全ニ変エル	0000105405-1281
心ニ訴エル	0000600100-004
慎重ニ考エル	0000376109-2305
見エル所ニ	0001221108-2049
鮮明ニ見エル	0000699108-2049
現金ニ替エル	0000127105-1281
次第ニ消エル	0000300105-1281	0000300109-2305
目ニ見エル	0001221100-001
ネエ	0000245100-001
モノノ考エ方	0000074105-1281
与エルノヲ拒ム	0000913105-1281
見エルモノ	0001219204-1026
我慢ノ限界ヲ超エル	0000680100-009
物事ノ考エ方	0000067104-1025
否定ノ答エ	0000912108-2049
控エノ選手	0000935104-1026
例エバ	0000981300-001
跳ビ越エル	0000628100-003
食ベ終エル	0000333107-1793
捕マエル	0001115300-007
痛ミヲ与エル	0000582100-004
重ミヲ与エル	0001081107-1793
飲ミ終エル	0000333107-1793
読ミ違エル	0000718108-2049
エラ	0000717100-004
考エラレル	0000829206-1537	0000829207-1793
捕ラエル	0000476109-2305	0000631100-003	0001115300-008
切リ換エル	0001110100-001
切リ替エル	0001110103-770	0001110104-1026	0001110105-1281
取リ替エル	0000934200-001
切リ替エ	0000132200-005
取リ替エ	0000381100-003
入レ替エル	0000934200-003
迎エ入レル	0000657100-004
仕事ヲ与エル	0000349110-2561
備品ヲ与エル	0000362109-2305
装備ヲ与エル	0000362106-1537
元気ヲ与エル	0000590104-1025
免許状ヲ与エル	0000048110-2561
権利ヲ与エル	0000029100-003
利益ヲ与エル	0000518205-1281
権力ヲ与エル	0000029113-3329
印象ヲ与エル	0000993100-005
許可ヲ与エル	0000025100-007	0000029105-1281	0000029106-1537
認可ヲ与エル	0000029114-3585
大被害ヲ与エル	0000281106-1537
大打撃ヲ与エル	0000281100-006
脅威ヲ与エル	0001145100-002
損害ヲ与エル	0000241100-001	0000509106-1537
屈辱ヲ与エル	0000346100-002
希望ヲ与エル	0000351106-1538	0000590100-003
悪影響ヲ与エル	0000241104-1025	0000241105-1281	0000509106-1537
影響ヲ与エル	0000021107-1793	0000021108-2049	0000021112-3073	0000577100-001
感触ヲ与エル	0000993107-1795
感銘ヲ与エル	0000557100-003
衝撃ヲ与エル	0000281110-2561	0001002200-006	0001010104-1025	0001010106-1537	0001010108-2049
服ヲ与エル	0000362109-2305
資格ヲ与エル	0000029100-006
権限ヲ与エル	0000029113-3329
衣類ヲ与エル	0000362106-1537
概要ヲ伝エル	0001127107-1793
要点ヲ伝エル	0001127107-1793
体ヲ鍛エル	0001163200-007
暴行ヲ加エル	0000064105-1281
装飾ヲ加エル	0000254111-2817
変化ヲ添エル	0000133108-2049
異議ヲ唱エル	0000299100-003	0000322100-002
論ヲ唱エル	0000151104-1025
感謝ヲ覚エル	0000495107-1793
道ヲ教エル	0001115207-1793	0001115209-2305	0001115211-2817
与エル	0000485100-003	0000869100-003
伝エル	0000203100-001	0001013100-004	0001118100-005	0001127100-001
備エル	0000512200-001	0000840200-003
冷エル	0000206100-001
凍エル	0000206100-005
出迎エル	0000497100-002
唱エル	0000883100-003
増エル	0000165100-005	0000963100-003
変エル	0000013106-1537	0000133100-001	0000934205-1281	0001175200-002
思エル	0000993100-001
見エル所	0001018103-770	0001018104-1026	0001018105-1282
抑エル	0000847110-2561	0001101200-001
抱エル	0000512200-003	0000525100-003
据エル	0000876100-003
控エル	0000520100-008
支エル	0000518100-007	0000690111-2817
教エル	0000203100-005	0001013100-003	0001123100-001	0001127100-002	0001163100-007
数エル	0000216100-001
整エル	0001147100-005
替エル	0000934200-004
着替エル	0001232100-005
栄エル	0000323100-002
構エル	0000669105-1282
洗エル	0000154100-005
消エル	0000300100-003
添エル	0000254106-1538
称エル	0000835100-003
笑エル	0000474109-2305	0000960100-003
答エル	0000040100-001
終エル	0000353100-003	0000431100-001
途絶エル	0001078100-006
考エル	0000194104-1025	0000552100-005	0000914108-2049	0001099100-002	0001143100-002
耐エル	0000510106-1538	0000510108-2050	0000805100-005	0001062200-003
蓄エル	0000362105-1282	0000630100-005
衰エル	0001251100-004
見エル	0000993100-002
覚エル	0000421100-002	0000512303-769	0000512307-1793	0000652100-010
訴エル	0001204110-2562
迎エル	0000497100-004
違エル	0000582109-2305
鍛エル	0001163200-006
震エル	0001002300-001
備エ	0000814100-005	0000836100-003
控エ選手	0000935100-003
控エ	0000517100-013
支エ	0000517100-008
教エ	0000637100-009	0001214100-002
考エ方	0000067100-004	0000595104-1025
構エ	0000827100-005
答エ	0000039100-001	0001044100-003
途絶エ	0000795100-014
考エ	0000195100-003	0000542100-001	0000705103-770	0001219100-001
蓄エ	0001097100-006
訴エ	0000942100-010
震エ	0001008100-002
タスクフォース	0000170111-2818
オオ	0000535107-1795
オオラカナ	0000118108-2050
オドオドシタ	0001016100-008
オオヨソノ	0001210100-007
マカセテオク	0000029104-1026
オジケヅカセル	0000306200-004
当然ノコトトシテオロソカニスル	0001172106-1537
オカシナ	0000960100-004	0001080100-008
オロソカニスル	0000547100-008
オドカス	0000466100-002
オコガマシクモスル	0000243110-2561
キオスク	0001061100-009
キックオフ	0001065100-015
引キ止メテオク	0000620100-004
オキテ	0001214100-010
オデキ	0001174100-012
レギオン	0000052107-1793
オジケヅク	0000783100-005
サセテオク	0000029104-1025
ダトシテオク	0000981303-769
シマッテオク	0000630103-769	0000630107-1793
隠シテオク	0000630105-1281	0000630107-1793
オーソドックスナ	0000343107-1793
オソラク	0000853100-002
オタク	0000410100-005
オ尻ヲタタク	0000524208-2049
オチョクル	0000036100-006
取ッテオク	0000630103-769	0000630107-1793	0000630200-005
雇ッテオク	0000349109-2305
貯メテオク	0000980300-004
オ金ヲ稼グ	0000691207-1793
オフザケ	0000359104-1025
オドケタ	0000474108-2050
オドケ	0000624100-003
社会ノ中ニオケル	0001039103-771
オ手上ゲノ	0000546108-2050
オフレコデ	0001196100-007
店ノオゴリデ	0000459200-005
オ巡リサン	0000822104-1025
オシャレナ	0000343100-001	0000412100-003
オプションノ	0001224100-007
オシャベリ	0000308100-011
ラジオ聴取者	0000068100-006
オドス	0000466100-008
オーバーホールスル	0000932100-006
ニオワセル	0001093100-005
オ知ラセ	0000795104-1025
ソノトオリ	0000399100-007
オダテノ	0000491600-006
オダテル	0000808100-006
チャンピオンノ座	0000072111-2818
オモチャノ	0000422108-2049
オトリ	0000106100-003
オトリ捜査	0000196108-2049
予想ドオリノ	0000838100-002
事実ドオリノ	0001171100-003
オ役所的ナヤリ方	0000111106-1537
オ役所的ナ規則	0000111106-1537
オ粗末ナ	0000825200-003	0001191200-004
大ノオ気ニ入リ	0001121100-005
オ気ニ入リノ	0000417100-001
オ気ニ入リ	0000146200-001
オ世辞ノ	0000491600-005
プレーオフ	0000477100-007
オマル	0001153100-006
オ悔ヤミ	0001111100-003
オ恵ミ	0000027100-008
オーラ	0000061100-011
オ金ヲ得ル	0000691205-1281
オ世辞	0000834100-008
オ役所仕事	0000111100-001
オ役人	0000757100-012
オ前	0000245100-007
オ役所流	0000111105-1281
オ役所風	0000111105-1281
オ金	0000721100-001
カンヌキガカカル	0000159108-2049
カスミノカカッタ	0000162107-1793
スルノガ時間ノカカル	0000643104-1025
多額ノ金ガカカル	0000392104-1025
鍵ガカカル	0000159105-1281
カンヌキヲカケル	0000159100-007
カカリッキリノ	0000113100-007
カメラカラ抜キ取ル	0000156106-1538
ホームシックニカカッタ	0000674100-008
ピカピカト輝ク	0001007110-2561
長クカカル	0000675103-770
ムカムカサセル	0000311100-001
シッカリツカマル	0000525107-1793
カジカンダ	0000461100-006
カスカナ	0000295100-003	0000881200-004
恥ヲカカセル	0000346100-001
カタカタト鳴ル	0001002204-1025
モヤノカカッタ	0000162107-1793
霧ノカカッタ	0000162106-1537
カンカンニナッテ怒ル	0000680107-1793
静カデ穏ヤカナ	0000881106-1537
ピカピカト光ル	0001007110-2561
ナカナカ	0000882100-003
多額ノ金ノカカル	0000392103-769
ピカピカノ	0000800107-1793
手ノカカル	0000293100-005
時間ノカカル	0001031103-769
金ノカカル	0000392105-1282
カカル	0001092100-002
カカワル	0000021105-1281
長時間カカル	0000675103-769	0000675105-1281
長期間カカル	0000675100-002
ケンカシテ仲ガ悪クナル	0000050110-2561
気ガカリナコト	0000749104-1025
ガッカリサセル	0000075108-2049	0000301100-003	0000302100-005	0000306203-769
良サガワカル	0000046103-770
恥ズカシガリノ	0001016100-001
ガッカリシタ	0000273108-2049
ガッカリシテ	0001201100-002
ガタツカセル	0001002207-1794
ガチャントブツカリ合ワセル	0000078100-005
物ガ散ラカッタ状態	0000710103-769
ガッカリナ	0001133100-009
気ガカリナ	0001248100-008	0001250100-006
手ガカリ	0000542200-005	0001044100-006	0001094100-002
気ガカリ	0000182108-2049
泣キベソヲカク	0000234100-004
キッカケ	0001020100-005
カキ傷ヲツケル	0000986103-769
政治家政府ニ働キカケル	0000120105-1281
磨キヲカケル	0000559106-1538
働キカケ	0000756100-003
カユミヲ引キ起コス	0000780110-2561
カナリノ大キサノ	0000641110-2561
シカルベキ	0000949100-005	0000962100-005	0000962200-006
引キズッテ動カス	0000872104-1025	0000872106-1537	0000872108-2049
心ヲカキ乱ス	0001249108-2049	0001250106-1537
カキ回ス	0001077100-001
カキ混ゼル	0001077100-002
ワカリキッタ	0000157100-005
大キナカタマリ	0000810110-2561	0000810114-3585
ハッキリワカッテ	0001102109-2305
ハッキリトワカル	0000699105-1281
キッカリノ	0001216105-1281	0001216106-1537
引ッカキ傷	0000583107-1793
カキ立テル	0001076100-006
カリキュラム	0000152100-005
カキ込ム	0000333100-007
銃器カラ抜キ取ル	0000156106-1538
ケンカ騒ギ	0000423105-1281
過ギ去ッタバカリノ	0000642200-006
昔カタギノ	0000762100-004
ニギヤカナ	0000232100-003	0000670100-009
カク	0000986100-002
ナレナレシク話シカケル	0000438103-769
マッタクバカゲタ	0000223109-2305	0000960107-1793
クシデトカス	0000109100-006
厚カマシクモスル	0000243103-769
厚カマシクスル	0000243100-002
恥ズカシク思ッテ	0001047109-2305
癇癪カンシャク	0001128100-001
ピクット動カス	0001002306-1537
バックパッカ	0001158100-007
ワカッテクル	0001176100-004
引ッカク	0000986100-001
見ツカラナクナル	0000300103-770
ムカツク	0001133100-011
正常ニ動カナクナル	0000105206-1537
動カナクナル	0000105204-1025	0000105205-1281
フクヨカナ	0000414100-004
細カク切ル	0000317106-1537
カンニングヲスル	0000140100-004
ハグラカス	0000547109-2305
グラツカセル	0001002207-1794
カタログ	0000667100-007
カツグ	0000140100-005
質問ヲ投ゲカケル	0000058106-1537
気ニカケサセル	0001249106-1538
チョットシタケンカ	0000051108-2049
シッカリト付ケル	0000062108-2049
ケシカラヌ	0000776100-001	0001191208-2049
ブラシヲカケル	0000109100-001
押シカケル	0000604106-1537	0000604110-2561
ホースデ水ヲカケル	0000154107-1793
派手ニケンカヲスル	0000424107-1793
ヒケラカス	0000099100-002
ケンカスル	0000050100-003
見セカケノ	0000041108-2049	0000716100-004	0001255100-007
見セカケル	0000846100-003
